"Allele","Ear","Quad_pval","Lin_inc_pval","Lin_dec_pval","B0","B1","B2","Coord_start","Coord_end"
"R53C03","X451A-1x402_inference.xml",0.370582218604818,0.0868904222470029,0.913109577752997,-3.51535981211104,0.00652010418345697,-2.65237686418728e-06,512,1338
"R53C03","X451A-4x402_inference.xml",0.299967533932902,0.451751377067854,0.548248622932146,-2.90011398136047,0.0069348329920183,-4.22599083560126e-06,346,1430
"R53C03","X451A-5x402_inference.xml",0.840870609719848,0.694393510067449,0.305606489932551,0.837699682418672,-0.00169299320509138,7.66338024342252e-07,428,1506
"R53C03","Y63-1x1_inference.xml",0.795315698375697,0.497226834865198,0.502773165134802,-0.416813476428562,0.000739288635932278,-4.01211400409654e-07,138,1814
"R53C03","Y63-2x1_inference.xml",0.163349562502867,0.109121631597808,0.890878368402192,0.157542491699399,-0.00116436310947628,8.30672366357616e-07,90,1766
"R53C03","Y63-3x1_inference.xml",0.831543215120453,0.274630297490136,0.725369702509864,-0.234409706609042,0.000479804815896124,-1.4959360126909e-07,192,1787
"R53C03","Y63-5x1_inference.xml",0.525606156440205,0.876128232854468,0.123871767145532,0.303537640756205,-0.000214378148215802,-5.94855986509122e-08,178,1772
"R53C03","Y63-7x1_inference.xml",0.495166194987563,0.421170548966352,0.578829451033648,0.483381292982003,-0.00153742530475172,8.905914347996e-07,92,1817
"R53C03","Y64-3x1_inference.xml",0.539450808601524,0.227394084217877,0.772605915782123,0.15132101483028,-0.000946103956994364,6.46398273656156e-07,116,1790
"R53C03","Y64-4x1_inference.xml",0.416650073319756,0.90993627265436,0.0900637273456403,0.557431183513279,-0.000620849918726335,1.21887920791666e-07,124,1798
"R60D10","X454-3x402_inference.xml",0.954231050102313,0.529523731291057,0.470476268708943,-0.537644342991706,0.00102615007385915,-5.98901602799006e-07,363,1648
"R60D10","X454L-1x402_inference.xml",0.92021229737978,0.338487113190265,0.661512886809735,0.0361900459547771,0.000196926803177784,5.33348387631079e-08,417,1342
"R60D10","Y46-1x1_inference.xml",0.753310232863189,0.657363246119713,0.342636753880288,0.549259931944127,-0.00124040687224425,6.13552178200871e-07,150,1756
"R60D10","Y46-2x1_inference.xml",0.956443339625136,0.54064766054418,0.45935233945582,0.238255269917072,-0.000339074320389777,1.79511405608248e-07,63,1814
"R60D10","Y46-3x1_inference.xml",0.464070050248816,0.310789795727335,0.689210204272665,0.652806544150054,-0.00149348008727884,8.79073211186374e-07,201,1760
"R60D10","Y46-6x1_inference.xml",0.721499404621547,0.321377018188857,0.678622981811143,0.227770897221162,-0.000618006980761059,4.10341816897346e-07,64,1795
"R63F09","X456-2x402_inference.xml",0.283046209161917,0.939898066980462,0.0601019330195386,2.71719648265195,-0.00518373611809588,1.93198157538733e-06,427,1455
